source_dataset,local_student_id,year_level,academic_avg_20,semester1_avg_20,semester2_avg_20,course_grade_mean_20,course_grade_std_20,course_grade_min_20,course_grade_max_20,course_count,failed_course_count_est,failed_course_rate,strong_course_rate,low_performance_rate,performance_consistency_index,academic_risk_score,missing_raw_values_count,missing_core_features_before_imputation,was_imputed,at_risk_label,cluster,pca1,pca2
annual_deliberation_y1,ADY1_0001,Y1,12.468,13.193,11.904,13.376,2.695,9.75,18.0,12,1,0.083,0.417,0.0,0.731,0.241,0,0,False,0,0,-0.15332711589568285,-0.16397241168770976
annual_deliberation_y1,ADY1_0002,Y1,15.878,15.833,15.913,15.773,1.143,13.8,17.45,12,0,0.0,0.833,0.0,0.886,0.119,0,0,False,0,0,-1.902956410964612,0.5965429829775377
annual_deliberation_y1,ADY1_0003,Y1,9.072,12.061,6.747,9.857,3.62,3.05,14.0,12,4,0.333,0.083,0.333,0.638,0.452,0,0,False,0,1,2.742439964159859,-0.5524654116706657
annual_deliberation_y1,ADY1_0004,Y1,9.062,10.248,8.14,10.591,4.415,5.0,17.4,12,6,0.5,0.333,0.333,0.559,0.498,0,0,False,0,1,2.915575821248214,-1.2189930910736892
annual_deliberation_y1,ADY1_0005,Y1,15.17,14.609,15.607,15.215,1.596,13.45,17.9,12,0,0.0,0.667,0.0,0.84,0.141,0,0,False,0,0,-1.4580197788736424,0.36366017085922386
annual_deliberation_y1,ADY1_0006,Y1,13.628,13.664,13.599,13.988,1.623,11.68,16.6,12,0,0.0,0.333,0.0,0.838,0.183,0,0,False,0,0,-0.6220134744934827,0.5475110899383071
annual_deliberation_y1,ADY1_0007,Y1,11.806,13.382,10.581,12.246,3.058,6.88,17.4,12,3,0.25,0.333,0.083,0.694,0.316,0,0,False,0,1,0.8318089209467425,-0.4044123112109759
annual_deliberation_y1,ADY1_0008,Y1,11.353,13.649,9.567,12.064,2.686,7.82,15.9,12,3,0.25,0.25,0.083,0.731,0.326,0,0,False,0,1,1.019596605059552,-0.08690488735435609
annual_deliberation_y1,ADY1_0009,Y1,13.441,15.306,11.991,13.697,2.029,9.4,16.25,12,1,0.083,0.5,0.0,0.797,0.211,0,0,False,0,0,-0.5551330222583142,0.20874360583180365
annual_deliberation_y1,ADY1_0010,Y1,13.823,14.081,13.622,14.031,1.137,12.37,16.4,12,0,0.0,0.5,0.0,0.886,0.176,0,0,False,0,0,-0.9509559257851707,0.8354690295613045
annual_deliberation_y1,ADY1_0011,Y1,15.464,15.225,15.65,15.543,1.981,12.5,18.8,12,0,0.0,0.75,0.0,0.802,0.135,0,0,False,0,0,-1.6100628184115193,0.051588318471964933
annual_deliberation_y1,ADY1_0012,Y1,13.231,14.189,12.485,13.456,2.178,10.22,17.83,12,0,0.0,0.333,0.0,0.782,0.197,0,0,False,0,0,-0.4797787777365656,0.18133428457939055
annual_deliberation_y1,ADY1_0013,Y1,15.296,15.909,14.819,15.447,1.906,10.52,17.55,12,0,0.0,0.833,0.0,0.809,0.139,0,0,False,0,0,-1.6999035796514343,0.09585934583437981
annual_deliberation_y1,ADY1_0014,Y1,11.218,11.643,10.888,11.812,1.718,9.38,15.6,12,1,0.083,0.083,0.0,0.828,0.271,0,0,False,0,0,0.528539394648307,0.7002402267496884
annual_deliberation_y1,ADY1_0015,Y1,16.408,16.122,16.631,16.619,1.53,14.65,20.0,12,0,0.0,1.0,0.0,0.847,0.106,0,0,False,0,0,-2.2314543843388983,0.23945185842081335
annual_deliberation_y1,ADY1_0016,Y1,10.542,12.006,9.402,11.272,2.577,7.33,16.6,12,4,0.333,0.083,0.167,0.742,0.381,0,0,False,0,1,1.8829591472405764,0.06899637061387234
annual_deliberation_y1,ADY1_0017,Y1,11.714,12.837,10.84,12.516,2.759,8.85,16.75,12,2,0.167,0.333,0.0,0.724,0.283,0,0,False,0,0,0.37847054001231933,-0.15967926529623
annual_deliberation_y1,ADY1_0018,Y1,14.358,12.791,15.576,14.581,2.821,9.09,20.0,12,1,0.083,0.583,0.0,0.718,0.19,0,0,False,0,0,-0.8106609685492956,-0.4441663127502135
annual_deliberation_y1,ADY1_0019,Y1,15.881,15.869,15.89,15.688,1.866,12.8,19.63,12,0,0.0,0.917,0.0,0.813,0.123,0,0,False,0,0,-1.9576234136250628,0.05881578166576145
annual_deliberation_y1,ADY1_0020,Y1,12.142,12.56,11.818,12.646,1.75,8.85,15.6,12,1,0.083,0.25,0.0,0.825,0.246,0,0,False,0,0,0.07951933782725,0.5677231151966136
annual_deliberation_y1,ADY1_0021,Y1,14.006,15.025,13.213,13.991,2.908,9.62,19.1,12,1,0.083,0.417,0.0,0.709,0.2,0,0,False,0,0,-0.48146386504561095,-0.4426140152001597
annual_deliberation_y1,ADY1_0022,Y1,11.451,12.193,10.874,12.278,2.438,8.98,16.0,12,3,0.25,0.25,0.0,0.756,0.31,0,0,False,0,0,0.7609684418144034,0.08287073327929906
annual_deliberation_y1,ADY1_0023,Y1,2.395,5.475,0.0,3.758,3.557,0.0,9.5,10,10,1.0,0.0,0.9,0.644,0.887,2,0,False,1,2,7.683519784613585,-0.1568201144935626
annual_deliberation_y1,ADY1_0024,Y1,13.009,12.995,13.02,13.607,1.89,10.5,17.2,12,0,0.0,0.417,0.0,0.811,0.202,0,0,False,0,0,-0.5771926849814831,0.38613898951799847
annual_deliberation_y1,ADY1_0025,Y1,13.049,13.577,12.638,13.506,1.594,10.1,15.65,12,0,0.0,0.333,0.0,0.841,0.199,0,0,False,0,0,-0.49275541064657136,0.6149634142149386
annual_deliberation_y1,ADY1_0026,Y1,11.369,11.844,10.999,12.258,2.574,8.4,16.2,12,3,0.25,0.25,0.0,0.743,0.313,0,0,False,0,0,0.7917686905835999,-0.002935299096755847
annual_deliberation_y1,ADY1_0027,Y1,10.795,11.95,9.896,11.632,2.867,7.5,16.02,12,3,0.25,0.25,0.167,0.713,0.355,0,0,False,0,1,1.3803534081108262,-0.17019242635626186
annual_deliberation_y1,ADY1_0028,Y1,10.318,11.634,9.296,10.9,2.024,5.95,14.4,12,2,0.167,0.083,0.083,0.798,0.331,0,0,False,0,1,1.208115467166569,0.5340131291977787
annual_deliberation_y1,ADY1_0029,Y1,10.402,12.298,8.928,11.417,3.205,6.55,15.0,12,5,0.417,0.333,0.167,0.68,0.409,0,0,False,0,1,1.8404397674307693,-0.4417599607042128
annual_deliberation_y1,ADY1_0030,Y1,9.409,11.171,8.039,10.542,3.497,5.8,17.0,12,5,0.417,0.167,0.25,0.65,0.45,0,0,False,0,1,2.5485572574790565,-0.5382807529350382
annual_deliberation_y1,ADY1_0031,Y1,13.38,13.211,13.511,13.468,1.171,12.0,16.3,12,0,0.0,0.333,0.0,0.883,0.188,0,0,False,0,0,-0.6057576618952552,0.8870612888042417
annual_deliberation_y1,ADY1_0032,Y1,14.28,14.692,13.959,14.576,2.172,11.7,18.8,12,0,0.0,0.5,0.0,0.783,0.168,0,0,False,0,0,-0.9618858203669078,0.06718962511053145
