behavior_student_id,source_dataset,age,gender_female_binary,academic_level_num,study_hours_daily,self_study_hours_daily,online_classes_hours_daily,social_media_hours_daily,gaming_hours_daily,sleep_hours,screen_time_hours_daily,exercise_minutes_daily,caffeine_intake_daily,part_time_job_binary,internet_quality_score,mental_health_score,focus_score,burnout_score,productivity_score,stress_score,assignment_punctuality_score,attendance_engagement_score,motivation_score,satisfaction_score,study_planning_score,extra_academic_work_binary,total_learning_hours_daily,distraction_hours_daily,sleep_balance_score,wellbeing_score,discipline_score,engagement_score,distraction_risk_score,behavioral_risk_score,observed_behavior_feature_count
B0001,Assessment (Responses) - Form Responses 1 (1).csv,18.0,1.0,2.0,0.8571428571428571,5.080403708604778,0.09984391942866895,1.0,0.09900152350509374,5.0,11.378045782640928,5.0,1.2079958360373286,0.0,3.0,6.022804899864729,4.0,5.0,8.21966999452292,10.0,4.0,5.0,2.014722025332069,2.0,1.0,0.0,5.987468525461969,1.0990015235050938,6.25,3.807981714952655,3.5,2.9090429263623125,4.616933070175796,5.384578021467574,14
B0002,Assessment (Responses) - Form Responses 1 (1).csv,18.0,1.0,2.0,0.42857142857142855,2.898280947711316,0.8270132711064127,4.0,1.0849266914982774,8.0,5.86953039642379,35.0,2.030096449041342,0.0,5.0,2.1092020109496556,2.0,5.0,4.2185840154060745,8.0,3.0,5.0,4.964530265094523,2.0,2.0,1.0,3.7403590118359507,5.084926691498278,9.25,3.53822070383238,3.0999999999999996,5.266827435531063,5.770205150764971,5.324378217658763,13
B0003,Assessment (Responses) - Form Responses 1 (1).csv,18.0,1.0,1.0,0.8571428571428571,10.146660986508623,3.030949211797426,6.0,0.0,8.0,2.9963182414894995,5.0,7.7384295666771035,0.0,3.0,4.813977425428281,3.0,5.0,2.9842579927845487,10.0,3.0,5.0,5.099730663613826,3.0,4.0,1.0,12.519278449550194,6.0,9.25,3.9848920988998984,3.75,7.131057243833876,5.498772747163167,4.396461246162353,14
B0004,Assessment (Responses) - Form Responses 1 (1).csv,18.0,0.0,2.0,0.42857142857142855,3.009011898589294,1.8258425787219335,2.0,0.0,5.0,9.548378602693115,35.0,0.8686016009629186,0.0,4.0,4.986636689196895,4.0,5.0,4.205143864191378,3.0,1.0,5.0,3.990628013970018,3.0,1.0,0.0,4.35050461652169,2.0,6.25,5.195322841218913,2.45,3.316105227180457,4.6827928675643715,5.303075057730304,14
B0005,Assessment (Responses) - Form Responses 1 (1).csv,22.0,1.0,2.0,0.0,4.042455599186194,2.048426198468744,2.0,0.9028973171267736,5.0,8.833489650313243,35.0,1.155147857342261,0.0,4.0,3.248138432364833,3.0,5.0,5.197949527297766,8.0,4.0,5.0,1.9528324136418989,3.0,3.0,0.0,5.066668698420567,2.9028973171267736,6.25,3.3368484513276915,3.8499999999999996,3.195011739874384,5.1216695379494945,5.44060991412047,14
B0006,Assessment (Responses) - Form Responses 1 (1).csv,18.0,0.0,3.0,0.0,2.2416005521646474,2.8969169911709556,6.0,3.0620706006873855,5.0,7.522113828631903,35.0,0.2832688292925311,0.0,3.0,6.616646201982769,1.0,5.0,4.075034326223571,10.0,1.0,5.0,3.919029768188083,3.0,1.0,1.0,3.6900590477501254,9.062070600687385,6.25,4.015826170693969,2.0,5.037607350515445,8.507371276210634,6.362693130215607,13
B0007,Assessment (Responses) - Form Responses 1 (1).csv,18.0,1.0,1.0,0.42857142857142855,6.080272118814059,0.004768488313482587,4.0,0.0,5.0,6.107591284925526,35.0,2.9900357234186687,0.0,4.0,6.061008947544731,1.0,5.0,4.088709120449484,3.0,3.0,5.0,3.0596886522334565,3.0,1.0,0.0,6.511227791542229,4.0,6.25,5.571353131640656,2.6999999999999997,3.9942066248413606,5.035863761641842,5.009008344707923,14
B0008,Assessment (Responses) - Form Responses 1 (1).csv,18.0,1.0,2.0,0.0,4.085086893310385,1.0505098947133729,4.0,0.0,6.0,5.208484425035434,5.0,0.0,1.0,3.0,4.775726378406883,2.0,5.0,5.073723518521526,8.0,4.0,5.0,4.123443649548444,4.0,3.0,0.0,4.610341840667072,4.0,7.75,4.171504232442409,3.6999999999999997,2.779936577287629,4.736161475011811,5.257604954698324,14
B0009,Assessment (Responses) - Form Responses 1 (1).csv,18.0,1.0,2.0,2.142857142857143,2.169528110896514,2.3173280424328473,1.0,0.0,5.0,7.944438029046259,5.0,1.2319768965462896,0.0,2.0,4.996720159024954,1.0,5.0,3.6487075397188513,10.0,5.0,5.0,4.096642024507043,2.0,4.0,1.0,5.471049274970081,1.0,6.25,3.448852055658734,4.15,5.118859226000552,3.3981460096820864,4.375166079222764,14
B0010,Assessment (Responses) - Form Responses 1 (1).csv,18.0,1.0,3.0,0.0,2.9423129850457515,0.09604917478943642,4.0,9.109157676277686,5.0,10.071669418188371,35.0,0.154183101152973,0.0,3.0,3.092749171183737,3.0,5.0,4.020641574492867,6.0,5.0,5.0,3.055085166817723,3.0,3.0,0.0,2.9903375724404695,13.109157676277686,6.25,3.782462209914308,4.2,2.5849298401175105,9.357223139396124,6.378334661845361,14
B0011,Assessment (Responses) - Form Responses 1 (1).csv,22.0,1.0,1.0,2.142857142857143,3.8673485722653123,2.1764898097254455,1.0,0.0,5.0,4.918342160057042,5.0,2.28754891540379,0.0,4.0,7.407896804827269,3.0,5.0,6.805313283084287,10.0,5.0,5.0,1.0,2.0,4.0,1.0,7.098450619985178,1.0,6.25,4.292763881689544,4.45,5.150491359105182,2.3894473866856805,3.741909842388261,14
B0012,Assessment (Responses) - Form Responses 1 (1).csv,22.0,0.0,1.0,0.8571428571428571,0.0,1.242046237157604,2.0,1.0371929422505488,5.0,8.185648391123202,35.0,8.0,0.0,4.0,5.994671693773949,3.0,5.0,9.029861959292809,1.0,5.0,5.0,2.9680408414946595,2.0,3.0,1.0,1.4781659757216592,3.037192942250549,6.25,6.048135092820883,4.2,3.962652336365373,5.006444170395646,4.266507430661304,14
B0013,Assessment (Responses) - Form Responses 1 (1).csv,18.0,0.0,2.0,0.0,3.6891837413607043,1.0632684342057586,4.0,2.0408135560784224,5.0,10.03245500015966,5.0,0.0,0.0,3.0,1.296936442757973,4.0,5.0,5.800624608558084,8.0,4.0,5.0,3.176965489442604,2.0,3.0,0.0,4.220817958463583,6.040813556078422,6.25,2.6539277549652907,4.0,2.4348313923850653,7.874761833778703,6.463804283858822,14
B0014,Assessment (Responses) - Form Responses 1 (1).csv,22.0,0.0,1.0,0.8571428571428571,2.325018671876959,1.0369441547939053,2.0,0.0,6.0,4.502211175297892,35.0,2.113759066427021,0.0,4.0,7.82970305559148,4.0,5.0,6.793296471577325,7.0,1.0,5.0,2.1019596809715533,2.0,3.0,1.0,3.700633606416769,2.0,7.75,5.490396069457018,2.95,4.678423156538796,3.0007370584326303,4.2534596546363534,14
B0015,Assessment (Responses) - Form Responses 1 (1).csv,18.0,1.0,1.0,0.0,1.8256190669658758,0.8620562941710079,4.0,0.0,5.0,14.235645153703103,5.0,0.07181995508791164,0.0,5.0,3.8997018607820344,3.0,4.0,3.2799654676767394,7.0,4.0,5.0,2.8602760649836285,3.0,3.0,1.0,2.25664721405138,4.0,6.25,4.014895651273712,3.8499999999999996,3.5858252097283887,7.0,5.609075002185789,14
B0016,Assessment (Responses) - Form Responses 1 (1).csv,18.0,1.0,3.0,1.5714285714285714,1.965027084169337,0.0,2.0,0.0006034027958456673,6.0,8.902344952219632,5.0,0.0,0.0,4.0,6.118946461322518,3.0,4.0,4.186554864291756,5.0,4.0,5.0,2.9949480908014365,3.0,3.0,1.0,3.5364556555979085,2.0006034027958455,7.75,5.591631261462882,3.8499999999999996,4.1246829915105625,4.467900869503429,4.368315091059352,14
B0017,Assessment (Responses) - Form Responses 1 (1).csv,18.0,1.0,2.0,0.0,3.9562449279657996,0.0,1.0,0.0,6.0,4.6815267290650056,35.0,1.0437172436479658,0.0,3.0,7.040879671825664,3.0,5.0,3.999277365693109,8.0,4.0,5.0,3.032997356498497,4.0,3.0,1.0,3.9562449279657996,1.0,7.75,4.964307885138982,3.8499999999999996,4.9668752202637965,2.310508909688335,3.8066160568144403,14
