quiz_id,quiz_file,raw_score,inferred_max_score,normalized_score,score_percent,submission_timestamp
Q001,AI224 — Quiz 01 (Responses).xlsx,7.0,10.0,0.7,70.0,2025-02-05 21:13:43.549
Q001,AI224 — Quiz 01 (Responses).xlsx,8.0,10.0,0.8,80.0,2025-02-05 21:18:54.915
Q001,AI224 — Quiz 01 (Responses).xlsx,7.0,10.0,0.7,70.0,2025-02-05 21:22:33.433
Q001,AI224 — Quiz 01 (Responses).xlsx,10.0,10.0,1.0,100.0,2025-02-05 21:24:50.225
Q001,AI224 — Quiz 01 (Responses).xlsx,10.0,10.0,1.0,100.0,2025-02-05 21:44:23.612
Q001,AI224 — Quiz 01 (Responses).xlsx,10.0,10.0,1.0,100.0,2025-02-05 21:45:04.891
Q001,AI224 — Quiz 01 (Responses).xlsx,10.0,10.0,1.0,100.0,2025-02-05 21:46:13.519
Q001,AI224 — Quiz 01 (Responses).xlsx,8.0,10.0,0.8,80.0,2025-02-05 21:46:59.103
Q001,AI224 — Quiz 01 (Responses).xlsx,9.0,10.0,0.9,90.0,2025-02-05 21:58:41.256
Q001,AI224 — Quiz 01 (Responses).xlsx,9.0,10.0,0.9,90.0,2025-02-05 22:00:05.768
Q001,AI224 — Quiz 01 (Responses).xlsx,10.0,10.0,1.0,100.0,2025-02-05 22:02:50.372
Q001,AI224 — Quiz 01 (Responses).xlsx,9.0,10.0,0.9,90.0,2025-02-05 22:04:03.971
Q001,AI224 — Quiz 01 (Responses).xlsx,9.0,10.0,0.9,90.0,2025-02-05 22:09:41.541
Q001,AI224 — Quiz 01 (Responses).xlsx,9.0,10.0,0.9,90.0,2025-02-05 22:09:44.948
Q001,AI224 — Quiz 01 (Responses).xlsx,10.0,10.0,1.0,100.0,2025-02-05 22:09:54.019
Q001,AI224 — Quiz 01 (Responses).xlsx,10.0,10.0,1.0,100.0,2025-02-05 22:17:06.700
Q001,AI224 — Quiz 01 (Responses).xlsx,9.0,10.0,0.9,90.0,2025-02-05 22:18:07.515
Q001,AI224 — Quiz 01 (Responses).xlsx,10.0,10.0,1.0,100.0,2025-02-05 22:20:32.592
Q001,AI224 — Quiz 01 (Responses).xlsx,9.0,10.0,0.9,90.0,2025-02-05 22:38:39.854
Q001,AI224 — Quiz 01 (Responses).xlsx,9.0,10.0,0.9,90.0,2025-02-05 22:38:44.849
Q001,AI224 — Quiz 01 (Responses).xlsx,7.0,10.0,0.7,70.0,2025-02-05 22:39:23.151
Q001,AI224 — Quiz 01 (Responses).xlsx,9.0,10.0,0.9,90.0,2025-02-05 22:41:35.246
Q001,AI224 — Quiz 01 (Responses).xlsx,9.0,10.0,0.9,90.0,2025-02-05 22:41:55.038
Q001,AI224 — Quiz 01 (Responses).xlsx,9.0,10.0,0.9,90.0,2025-02-05 22:43:39.757
Q001,AI224 — Quiz 01 (Responses).xlsx,10.0,10.0,1.0,100.0,2025-02-05 23:09:27.357
Q001,AI224 — Quiz 01 (Responses).xlsx,9.0,10.0,0.9,90.0,2025-02-05 23:11:44.307
Q001,AI224 — Quiz 01 (Responses).xlsx,9.0,10.0,0.9,90.0,2025-02-05 23:23:07.339
Q001,AI224 — Quiz 01 (Responses).xlsx,9.0,10.0,0.9,90.0,2025-02-05 23:53:03.692
Q001,AI224 — Quiz 01 (Responses).xlsx,9.0,10.0,0.9,90.0,2025-02-05 23:55:51.431
Q001,AI224 — Quiz 01 (Responses).xlsx,9.0,10.0,0.9,90.0,2025-02-06 00:06:26.837
Q001,AI224 — Quiz 01 (Responses).xlsx,10.0,10.0,1.0,100.0,2025-02-06 00:22:33.519
Q001,AI224 — Quiz 01 (Responses).xlsx,9.0,10.0,0.9,90.0,2025-02-06 00:31:09.666
Q001,AI224 — Quiz 01 (Responses).xlsx,9.0,10.0,0.9,90.0,2025-02-06 00:53:03.467
Q001,AI224 — Quiz 01 (Responses).xlsx,9.0,10.0,0.9,90.0,2025-02-06 00:53:06.866
Q001,AI224 — Quiz 01 (Responses).xlsx,10.0,10.0,1.0,100.0,2025-02-06 00:54:32.274
Q001,AI224 — Quiz 01 (Responses).xlsx,10.0,10.0,1.0,100.0,2025-02-06 01:01:05.499
Q001,AI224 — Quiz 01 (Responses).xlsx,10.0,10.0,1.0,100.0,2025-02-06 01:58:42.050
Q001,AI224 — Quiz 01 (Responses).xlsx,8.0,10.0,0.8,80.0,2025-02-06 04:01:19.420
Q001,AI224 — Quiz 01 (Responses).xlsx,9.0,10.0,0.9,90.0,2025-02-06 06:27:26.553
Q001,AI224 — Quiz 01 (Responses).xlsx,8.0,10.0,0.8,80.0,2025-02-06 07:54:45.241
Q001,AI224 — Quiz 01 (Responses).xlsx,10.0,10.0,1.0,100.0,2025-02-06 08:20:07.210
Q001,AI224 — Quiz 01 (Responses).xlsx,10.0,10.0,1.0,100.0,2025-02-06 08:23:36.801
Q001,AI224 — Quiz 01 (Responses).xlsx,10.0,10.0,1.0,100.0,2025-02-06 09:58:19.363
Q001,AI224 — Quiz 01 (Responses).xlsx,10.0,10.0,1.0,100.0,2025-02-06 10:00:17.486
Q001,AI224 — Quiz 01 (Responses).xlsx,10.0,10.0,1.0,100.0,2025-02-06 10:10:27.810
Q001,AI224 — Quiz 01 (Responses).xlsx,10.0,10.0,1.0,100.0,2025-02-06 10:13:06.953
Q001,AI224 — Quiz 01 (Responses).xlsx,10.0,10.0,1.0,100.0,2025-02-06 10:21:41.782
Q001,AI224 — Quiz 01 (Responses).xlsx,5.0,10.0,0.5,50.0,2025-02-06 11:04:34.316
Q001,AI224 — Quiz 01 (Responses).xlsx,10.0,10.0,1.0,100.0,2025-02-06 11:24:01.496
Q001,AI224 — Quiz 01 (Responses).xlsx,9.0,10.0,0.9,90.0,2025-02-06 11:51:38.065
Q001,AI224 — Quiz 01 (Responses).xlsx,10.0,10.0,1.0,100.0,2025-02-06 12:00:43.796
Q001,AI224 — Quiz 01 (Responses).xlsx,10.0,10.0,1.0,100.0,2025-02-06 12:07:59.658
Q001,AI224 — Quiz 01 (Responses).xlsx,10.0,10.0,1.0,100.0,2025-02-06 12:08:46.853
Q001,AI224 — Quiz 01 (Responses).xlsx,9.0,10.0,0.9,90.0,2025-02-06 12:10:05.436
Q001,AI224 — Quiz 01 (Responses).xlsx,10.0,10.0,1.0,100.0,2025-02-06 12:12:00.759
Q001,AI224 — Quiz 01 (Responses).xlsx,10.0,10.0,1.0,100.0,2025-02-06 12:36:11.312
Q001,AI224 — Quiz 01 (Responses).xlsx,10.0,10.0,1.0,100.0,2025-02-06 12:37:22.191
Q001,AI224 — Quiz 01 (Responses).xlsx,10.0,10.0,1.0,100.0,2025-02-06 12:39:24.095
Q001,AI224 — Quiz 01 (Responses).xlsx,8.0,10.0,0.8,80.0,2025-02-06 12:42:00.662
Q001,AI224 — Quiz 01 (Responses).xlsx,9.0,10.0,0.9,90.0,2025-02-06 12:43:36.547
Q001,AI224 — Quiz 01 (Responses).xlsx,8.0,10.0,0.8,80.0,2025-02-06 12:45:22.094
Q001,AI224 — Quiz 01 (Responses).xlsx,10.0,10.0,1.0,100.0,2025-02-06 12:50:27.811
Q001,AI224 — Quiz 01 (Responses).xlsx,8.0,10.0,0.8,80.0,2025-02-06 12:54:21.842
