behavior_student_id,cluster_3,cluster_3_label,cluster_4,cluster_4_label,at_risk,behavioral_risk_score,wellbeing_score,engagement_score,distraction_risk_score
B0001,1,Disengaged_AtRisk,1,HighStress,1,5.384578021467574,3.807981714952655,2.9090429263623125,4.616933070175796
B0002,2,HighDistraction_Burnout,1,HighStress,1,5.324378217658763,3.53822070383238,5.266827435531063,5.770205150764971
B0003,2,HighDistraction_Burnout,1,HighStress,0,4.396461246162353,3.9848920988998975,7.131057243833876,5.498772747163167
B0004,1,Disengaged_AtRisk,0,Moderate_LowStress,1,5.303075057730304,5.195322841218913,3.316105227180457,4.682792867564372
B0005,1,Disengaged_AtRisk,1,HighStress,1,5.44060991412047,3.3368484513276915,3.195011739874384,5.121669537949495
B0006,2,HighDistraction_Burnout,3,DigitalDistracted,1,6.362693130215607,4.015826170693969,5.037607350515445,8.507371276210634
B0007,1,Disengaged_AtRisk,0,Moderate_LowStress,1,5.009008344707923,5.571353131640656,3.994206624841361,5.035863761641842
B0008,1,Disengaged_AtRisk,1,HighStress,1,5.257604954698324,4.171504232442409,2.779936577287629,4.736161475011811
B0009,1,Disengaged_AtRisk,1,HighStress,0,4.375166079222764,3.448852055658734,5.118859226000552,3.3981460096820864
B0010,2,HighDistraction_Burnout,3,DigitalDistracted,1,6.378334661845361,3.782462209914308,2.5849298401175105,9.357223139396124
B0011,1,Disengaged_AtRisk,1,HighStress,0,3.741909842388261,4.292763881689544,5.150491359105182,2.3894473866856805
B0012,1,Disengaged_AtRisk,0,Moderate_LowStress,0,4.266507430661304,6.048135092820883,3.962652336365373,5.006444170395646
B0013,2,HighDistraction_Burnout,1,HighStress,1,6.463804283858822,2.6539277549652907,2.4348313923850653,7.874761833778703
B0014,1,Disengaged_AtRisk,0,Moderate_LowStress,0,4.2534596546363534,5.490396069457018,4.678423156538796,3.0007370584326303
B0015,2,HighDistraction_Burnout,1,HighStress,1,5.609075002185789,4.014895651273712,3.5858252097283887,7.0
B0016,1,Disengaged_AtRisk,0,Moderate_LowStress,0,4.368315091059352,5.591631261462882,4.1246829915105625,4.467900869503429
B0017,1,Disengaged_AtRisk,0,Moderate_LowStress,0,3.80661605681444,4.964307885138982,4.9668752202637965,2.310508909688335
B0018,1,Disengaged_AtRisk,0,Moderate_LowStress,0,4.251544665010957,6.276710174358431,4.944417506430866,5.082648375704811
B0019,2,HighDistraction_Burnout,1,HighStress,1,6.148433302512238,3.6747886923947366,2.3405265815842915,7.664006222506928
B0020,1,Disengaged_AtRisk,0,Moderate_LowStress,1,5.340097109452069,4.64455058601814,3.008372004625401,5.062221145655441
B0021,0,Engaged_Disciplined,1,HighStress,0,3.901437217731917,4.179545122882307,6.361083146307645,3.7822861646940806
B0022,2,HighDistraction_Burnout,0,Moderate_LowStress,1,5.087885640806444,4.127606468442052,5.331371410758844,6.956041736115084
B0023,1,Disengaged_AtRisk,1,HighStress,0,4.519885060621627,3.78937649344821,4.763207965375637,4.75
B0024,1,Disengaged_AtRisk,0,Moderate_LowStress,0,3.9076261215301034,6.25,4.661875751570204,3.5523802376906137
B0025,0,Engaged_Disciplined,2,HighPerformer,0,3.157229696123408,5.910021294002995,7.777612694060626,3.658557031357852
B0026,0,Engaged_Disciplined,1,HighStress,0,3.706419523533087,4.062841766997952,5.633628581306233,2.5347167958361227
B0027,2,HighDistraction_Burnout,3,DigitalDistracted,1,5.530440401368228,6.002369783296733,4.311111111111111,9.875716456540102
B0028,1,Disengaged_AtRisk,0,Moderate_LowStress,0,4.373585199265425,5.099231226947476,3.684058548854063,3.6974768182527336
B0029,1,Disengaged_AtRisk,0,Moderate_LowStress,0,4.475639139773924,4.980157115168455,2.913375624821939,3.352120722119779
B0030,0,Engaged_Disciplined,2,HighPerformer,0,3.5459953802131,5.935447699700261,5.797814699690505,3.8243334601832175
B0031,1,Disengaged_AtRisk,1,HighStress,1,5.434882274912359,2.7359578509713947,2.3667120668730237,3.5493905876881318
B0032,1,Disengaged_AtRisk,1,HighStress,0,4.594984660991518,2.8500000000000005,4.327817717624984,3.8877563615910544
B0033,2,HighDistraction_Burnout,1,HighStress,1,5.537475392978854,2.6,4.525762371134778,5.795663943050192
B0034,1,Disengaged_AtRisk,0,Moderate_LowStress,0,4.627620161221568,5.032844852069517,2.2372409307761885,3.50713539814588
B0035,1,Disengaged_AtRisk,0,Moderate_LowStress,1,4.96476748951152,5.475244168116324,3.0229033022434524,4.812266262029119
B0036,1,Disengaged_AtRisk,0,Moderate_LowStress,0,3.956407797447778,5.325480931107664,5.3167765401360425,3.772984847256352
B0037,2,HighDistraction_Burnout,1,HighStress,0,4.639188774433341,5.369260540596566,5.604943054480328,6.36481080092957
B0038,1,Disengaged_AtRisk,1,HighStress,1,5.40201591459255,4.539787107797936,2.0679362223579174,4.8837444100856375
B0039,1,Disengaged_AtRisk,0,Moderate_LowStress,0,4.031807058833058,5.549604273173048,4.446892072124239,3.553645435264128
B0040,2,HighDistraction_Burnout,1,HighStress,1,6.200016006483363,2.9949055018012167,3.0115527085913185,6.525503336686231
B0041,1,Disengaged_AtRisk,0,Moderate_LowStress,0,4.413035392932548,4.769592918680123,5.445445815057216,4.581098889203553
B0042,2,HighDistraction_Burnout,0,Moderate_LowStress,0,4.7151744212383,5.600875423230794,5.056787544060124,6.798535736890274
